,Name,Profile link,Picture,Degree,About,Specialization,Years of Experience,Language,Fee for query,Fee for video query,Review
10,Dr. Vaibhav Barve,https://www.icliniq.com//doctor/dr-vaibhav-barve,https://img.icliniq.com/doc_photo/dr-vaibhav-barve-575047-60e4de16996f1.jpg,DIPLOMA(DVL),"
Professional Bio: 
Dr.Vaibhav Barve is a Dermatologist and a Venereologist with 7 years of clinical experience. He has done his MBBS from Dr.VMGMC, Solapur, Maharashtra, Post- graduation in Dermatology from RIMS, Ran... Read More  ","
Venereology
 

Dermatology, 
",7+ Yrs,"
English
","
Rs.199
","
Rs.399
",Received 663 upvotes out of 813 votes
11,Dr. Raveendran Sr,https://www.icliniq.com//doctor/dr-raveendran-sr,https://img.icliniq.com/doc_photo/dr-raveendran-sr-471214-60de25522e100.jpg,MBBS,"
Professional Bio: 
Dr.Raveendran SR is a General Practitioner specializing in Diabetology, Sexology, and Andrology. He completed his MBBS, MD, and FSM at Annamalai University. He was working as Associate Professor in... Read More  ","
Sexology
 

Diabetology, Andrology, General Practitioner, Erectile Dysfunction,
Sexual Disorders And Dysfunctions,
Libido,
Diabetes Management,
Diabetic Nephropathy,
Type 2 Diabetes,
Pregnancy Diabetes,
 ... 

",10+ Yrs,"
English, Tamil
","
Rs.199
","
Rs.399
",Received 495 upvotes out of 552 votes
12,Dr. Nageswara Rao,https://www.icliniq.com//doctor/dr-nageswara-rao,https://img.icliniq.com/doc_photo/dr-nageswara-rao-84575-58bfd28a75c17.jpg,MBBS,"
Professional Bio: 
Dr.Nageswara Rao is a diabetologist. He studied MBBS from Dr. NTR University of Health Sciences in 2000. He studied DNB (general medicine) from the National Board of Examinations in 2010. He then s... Read More  ","
Diabetology
 

General Medicine, Internal Medicine, Obesity,
Diabetes Management,
Diabetic Peripheral Neuropathy,
Diabetes,
Hypertension,
Headaches And Migraines,
Headache,
 ... 

",20+ Yrs,"
English, Hindi, Malayalam, Telugu
","
Rs.400
","
Rs.600
",Received 296 upvotes out of 375 votes
13,Dr. Shyam Kalyan N,https://www.icliniq.com//doctor/dr-shyam-kalyan-n,https://img.icliniq.com/doc_photo/dr-shyam-kalyan-n-56547-60e385fcdc639.jpg,MBBS (MADRAS MEDICAL COLLEGE),"
Professional Bio: 
Dr.Shyam Kalyan N is a General Practitioner and a Family Physician specializing in Otolaryngology and in treating allergies, with 10 years of clinical experience. He completed his MBBS at the Madra... Read More  ","
Otolaryngology (E.N.T)
 

Allergy Specialist, General Practitioner, Family Physician, Tonsillitis,
Adenoids,
Ear Infections,
Functional Endoscopic Sinus Surgery,
Vertigo Management,
Allergy Management,
Allergy Sensitivity Test,
 ... 

",10+ Yrs,"
English, Bengali, Hindi, Kannada, Malayalam, Tamil
","
Rs.299
","
Rs.599
",Received 430 upvotes out of 484 votes
14,Dr. C Elanchezhian,https://www.icliniq.com//doctor/dr-c-elanchezhian,https://img.icliniq.com/doc_photo/dr-c-elanchezhian-500555-60de2094f2fc4.jpg,"M.D GEN,MEDICINE","
Professional Bio: 
Dr.C Elanchezhian is General Medicine specialist. He completed MD General Medicine at Government Stanley Medical College, Chennai, Tamil Nadu. He is a senior specialist practicing for more than 34 ... Read More  ","
General Medicine
 

Internal Medicine, Coronavirus Disease (COVID-19),
 ... 

",45+ Yrs,"
English
","
Rs.250
","
Rs.400
",Received 404 upvotes out of 456 votes
15,Dr. Prajakta Keluskar,https://www.icliniq.com//doctor/dr-prajakta-keluskar,https://img.icliniq.com/doc_photo/dr-prajakta-keluskar-787654-60ecadf8c48d6.jpg,MS ENT,,"
Otolaryngology (E.N.T)
 

Symptoms Of Sinusitis, Smell And Taste Disturbances, Loss Of Smell 
",1+ Yrs,"
English
","
Rs.199
","
Rs.399
",Received 1 upvote out of 7 votes
16,Dr. Vishal Anilkumar Gandhi,https://www.icliniq.com//doctor/dr-vishal-anilkumar-gandhi,https://img.icliniq.com/doc_photo/dr-vishal-anilkumar-gandhi-265720-5cb9c700835dd.jpg,MBBS,"
Professional Bio: 
Dr.Vishal Anilkumar Gandhi is a Psychiatrist with 5 years of clinical experience. He specializes in treating patients with various mental illnesses like Schizophrenia, Depression, anxiety, sexual d... Read More  ","
Psychiatry
 

Generalized Anxiety Disorder,
Schizophrenia,
Depression,
Anxiety Disorders,
Bipolar Disorder,
Borderline Personality Disorder,
Sex Therapy And Counselling,
 ... 

",5+ Yrs,"
English, Gujarati, Hindi
","
Rs.250
","
Rs.399
",Received 861 upvotes out of 913 votes
17,Dr. Acha Varun Babu,https://www.icliniq.com//doctor/dr-acha-varun-babu,https://img.icliniq.com/doc_photo/dr-acha-varun-babu-249818-597a60906bc70.jpg,MBBS,"
Professional Bio: 
Dr. Acha Varun Babu is a General Practitioner and a Family Physician specializing in Laparoscopic surgery with 13 years of clinical experience. He completed his MBBS at Kathmandu University, Nepal.... Read More  ","
Family Physician
 

General Practitioner, 
",13+ Yrs,"
English, Hindi, Nepali, Telugu
","
Rs.199
","
Rs.399
",Received 49 upvotes out of 54 votes
18,Dr. Richa Agarwal,https://www.icliniq.com//doctor/drricha-agarwal,https://img.icliniq.com/doc_photo/drricha-agarwal-1060-58bfd1316272a.jpeg,MBBS,"
Professional Bio: 
Dr.Richa Agarwal is an Obstetrician and a Gynecologist with 23 years of clinical experience. She completed her MBBS and DGO at the Rani Durgavati Vishwavidyalaya. She is concerned with women during... Read More  ","
Obstetrics And Gynaecology
 

Contraception And Birth Control,
 ... 

",23+ Yrs,"
English
","
Rs.300
","
Rs.499
",Received 2616 upvotes out of 2864 votes
19,Dr. J N Naidu,https://www.icliniq.com//doctor/dr-j-n-naidu,https://img.icliniq.com/doc_photo/dr-j-n-naidu-704884-60e65fd3a726e.jpg,MBBS,"
Professional Bio: 
Dr.J N Naidu is a Family Physician and a Consultant in Diabetes with 15 years of clinical practice. He completed his MBBS in SV Medical College and MD Biochemistry at Jaipur National University. Cu... Read More  ","
General Practitioner
 

Family Physician, Hypertension Management,
Common Cold,
Cough,
 ... 

",15+ Yrs,"
English
","
Rs.199
","
Rs.399
",Received 385 upvotes out of 420 votes
20,Dr. Sarah Hafeez,https://www.icliniq.com//doctor/dr-sarah-hafeez,https://img.icliniq.com/doc_photo/dr-sarah-hafeez-779425-5fa1706bb4abf.pdf,MBBS,"
Professional Bio: 
Dr.Sarah Hafeez is a General Practitioner and a Family Physician with 8 years of clinical experience. She completed her MBBS at the PMC-UHS. Currently, she is practicing in City Skin and Cosmetic C... Read More  ","
General Practitioner
 

Family Physician, 
",8+ Yrs,"
Helped  5000  patients
","
Rs.199
","
Rs.399
",Received 12 upvotes out of 13 votes
21,Dr. Rajesh Jain,https://www.icliniq.com//doctor/dr-rajesh-jain,https://assets.icliniq.com/v2/assets/images/iCliniq-logo/iCliniq_q.svg,MBBS,"
Professional Bio: 
Dr.Rajesh Jain is working as a medical officer since 1993 at the health services government of Maharashtra. He is also running a clinic successfully at Jalgaon. He has knowledge in Allopathy, Homeo... Read More  ","
General Practitioner
 

Family Physician, 
",29+ Yrs,"
Helped  700000  patients
","
Rs.199
","
Rs.399
",Received 147 upvotes out of 164 votes
22,Dr. Lorena Zijaj,https://www.icliniq.com//doctor/dr-lorena-zijaj,https://img.icliniq.com/doc_photo/dr-lorena-zijaj-648573-60de25aebfd97.jpg,"FACULTY OF MEDICINE ,TIRANA","
Professional Bio: 
MD Obstetric -Gynecology doctor ","
Obstetrics And Gynaecology
 

Insulin, Sugar-free Diet, Gestational Diabetes, Emergency Contraceptive Pill, Anemia, Periods, Heart Rate, Birth Control Pill, Pcod, Dermoid Cyst 
",4+ Yrs,"
English, Albanian
","
Rs.199
","
Rs.399
",Received 270 upvotes out of 306 votes
23,Dr. Mehak Agarwal,https://www.icliniq.com//doctor/dr-mehak-agarwal,https://img.icliniq.com/doc_photo/dr-mehak-agarwal-57238-60e385a86724a.jpg,MBBS,"
Professional Bio: 
Dr.Mehak Agarwal is an Otolaryngologist specializing in Diabetology with 10 years of clinical experience. She completed her MBBS and DLO at the Rajiv Gandhi University of Health Sciences and DNB at... Read More  ","
Otolaryngology (E.N.T)
 

Diabetology, Family Physician, 
",10+ Yrs,"
English, Bengali, Hindi, Kannada, Tamil
","
Rs.249
","
Rs.399
",Received 292 upvotes out of 324 votes
